1,148,162,155,159
1,155,159,170,153
1,170,153,197,143
1,197,143,222,137
1,222,137,252,133
1,252,133,277,133
1,277,133,310,133
1,310,133,346,138
1,346,138,376,145
1,376,145,396,153
1,396,153,410,161
1,410,161,421,168
1,421,168,428,179
1,428,179,435,195
1,435,195,440,217
1,440,217,442,235
1,442,235,442,254
1,442,254,441,273
1,441,273,437,295
1,437,295,431,317
1,431,317,424,339
1,424,339,415,359
1,415,359,407,374
1,407,374,399,388
1,399,388,390,401
1,390,401,382,413
1,382,413,376,419
1,376,419,371,423
1,371,423,364,425
1,364,425,357,429
1,357,429,352,431
1,352,431,349,432
1,349,432,348,432
1,348,432,348,432
1,348,432,348,431
1,348,431,348,430
1,348,430,348,429
1,348,429,348,429
1,145,163,145,163
1,145,163,144,161
1,144,161,142,156
1,142,156,140,152
1,140,152,138,147
1,138,147,134,143
1,134,143,131,140
1,131,140,127,136
1,127,136,122,133
1,122,133,116,129
1,116,129,110,127
1,110,127,105,125
1,105,125,98,123
1,98,123,92,123
1,92,123,88,123
1,88,123,84,123
1,84,123,77,127
1,77,127,70,131
1,70,131,61,137
1,61,137,55,143
1,55,143,45,151
1,45,151,38,159
1,38,159,34,169
1,34,169,29,177
1,29,177,27,186
1,27,186,24,195
1,24,195,22,205
1,22,205,22,211
1,22,211,22,219
1,22,219,23,224
1,23,224,26,230
1,26,230,28,235
1,28,235,31,239
1,31,239,36,244
1,36,244,41,248
1,41,248,47,254
1,47,254,54,259
1,54,259,61,268
1,61,268,70,276
1,70,276,77,282
1,77,282,88,290
1,88,290,98,298
1,98,298,114,309
1,114,309,128,321
1,128,321,138,330
1,138,330,150,338
1,150,338,160,347
1,160,347,168,355
1,168,355,176,361
1,176,361,184,367
1,184,367,190,371
1,190,371,196,374
1,196,374,202,378
1,202,378,206,380
1,206,380,212,383
1,212,383,218,386
1,218,386,221,389
1,221,389,226,391
1,226,391,229,393
1,229,393,233,395
1,233,395,237,397
1,237,397,242,399
1,242,399,245,401
1,245,401,247,401
1,247,401,250,403
1,250,403,253,405
1,253,405,257,407
1,257,407,260,408
1,260,408,262,409
1,262,409,266,411
1,266,411,268,413
1,268,413,271,415
1,271,415,273,416
1,273,416,276,417
1,276,417,281,419
1,281,419,287,423
1,287,423,293,425
1,293,425,298,427
1,298,427,302,429
1,302,429,306,432
1,306,432,309,433
1,309,433,312,434
1,312,434,312,435
1,312,435,312,435
1,312,435,312,435
1,312,435,312,436
1,312,436,313,436
1,313,436,313,437
1,313,437,314,437
1,314,437,315,437
1,315,437,316,437
1,316,437,318,437
1,318,437,318,437
2,519,159,10,10
2,674,132,10,10
3,628,374,10,10
3,368,89,10,10
